,T_HMP,WDIR,WS_MAX,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,height,RH,oxypercent
63,10.68,126.7,2.332,58.317,9.717,352.067,384.832,642.936,3810,97.7,51.65950271729011
64,9.58,135.2,2.721,36.317,5.683,362.948,373.295,643.221,3810,99.9,51.65950271729011
65,9.38,111.1,1.999,27.617,4.317,360.673,379.101,644.163,3810,99.5,51.65950271729011
66,11.34,121.8,2.332,143.55,23.8,335.739,398.702,645.344,3810,91.2,51.65950271729011
67,11.71,124.7,3.11,105.3,17.433,355.341,413.853,645.251,3810,88.9,51.65950271729011
68,12.38,138.5,3.554,116.1,19.617,348.463,410.935,645.781,3810,96.0,51.65950271729011
69,11.32,131.9,4.221,54.633,8.517,369.627,396.61,645.913,3810,98.6,51.65950271729012
70,11.65,129.5,2.943,89.683,14.9,366.873,404.326,644.893,3810,95.9,51.65950271729011
71,11.54,121.8,4.332,121.25,20.617,356.615,403.551,643.336,3810,95.8,51.65950271729011
72,11.66,128.0,3.054,111.283,19.533,345.33,402.656,642.281,3810,93.1,51.65950271729011
73,10.43,130.8,4.554,51.383,3.833,362.616,377.755,643.434,3810,97.5,51.65950271729012
74,10.79,132.0,2.888,62.083,5.833,364.857,382.901,643.407,3810,98.3,51.65950271729011
75,9.99,138.0,4.998,24.95,1.983,360.123,375.281,643.648,3810,95.1,51.65950271729012
76,10.01,127.6,1.999,44.95,3.967,361.537,380.79,642.778,3810,99.2,51.65950271729011
77,8.88,138.2,7.053,41.217,3.383,357.025,368.516,644.374,3810,98.9,51.65950271729012
78,8.52,139.3,1.777,120.233,12.383,349.47,380.606,645.192,3810,99.2,51.65950271729011
79,8.83,122.6,2.332,76.733,7.333,350.999,379.694,643.085,3810,95.3,51.65950271729011
80,9.33,133.3,4.887,103.467,10.033,358.48,377.557,642.101,3810,99.3,51.65950271729011
81,8.89,128.7,3.165,70.633,6.717,346.207,372.493,642.77,3810,99.2,51.65950271729011
82,9.02,131.4,3.276,53.05,4.85,356.341,378.581,644.853,3810,99.7,51.65950271729011
83,10.21,131.9,3.332,79.483,8.267,327.835,384.579,645.789,3810,95.4,51.65950271729012
84,10.91,114.0,2.332,87.133,8.783,336.258,386.037,646.515,3810,92.8,51.6595027172901
85,9.78,129.6,2.555,24.983,1.783,359.651,382.117,647.198,3810,97.8,51.65950271729011
86,10.06,124.6,3.165,52.767,5.183,359.962,384.94,647.283,3810,99.1,51.65950271729012
87,10.3,136.3,2.832,49.917,5.233,363.634,384.434,646.708,3810,99.8,51.65950271729012
88,10.77,134.0,2.777,49.617,5.45,365.78,386.042,645.888,3810,99.7,51.65950271729012
89,11.75,134.9,3.11,108.133,12.583,346.327,390.645,644.52,3810,98.7,51.6595027172901
90,10.12,132.4,3.054,54.567,5.817,360.92,380.051,645.812,3810,96.6,51.65950271729011
91,9.88,112.4,3.721,47.533,4.95,358.412,375.028,645.364,3810,96.3,51.65950271729011
92,9.84,136.1,5.054,30.633,3.167,359.556,372.402,644.74,3810,95.3,51.6595027172901
93,11.05,126.6,4.498,83.567,9.883,365.592,389.392,645.145,3810,96.5,51.65950271729012
94,10.78,124.9,2.555,108.85,13.367,361.801,385.939,646.993,3810,98.9,51.65950271729011
95,10.85,109.5,3.943,72.317,8.767,362.666,383.226,646.884,3810,94.9,51.65950271729012
96,9.89,135.9,3.165,44.217,5.1,363.395,378.334,646.077,3810,99.8,51.65950271729011
97,10.29,127.1,1.944,46.133,5.267,361.431,383.017,645.361,3810,99.2,51.65950271729011
98,10.12,118.3,4.221,48.8,5.933,358.08,377.573,645.136,3810,98.1,51.65950271729011
99,9.99,133.3,3.776,51.383,6.383,359.67,377.687,644.91,3810,97.0,51.65950271729011
100,10.57,116.7,2.443,30.9,3.667,367.227,382.615,644.758,3810,99.8,51.65950271729011
101,10.77,113.9,2.888,88.017,11.717,363.188,384.681,643.817,3810,99.6,51.65950271729011
102,10.92,136.3,2.11,140.467,18.75,343.723,387.69,643.677,3810,93.2,51.65950271729011
103,11.52,117.3,2.721,75.35,10.4,348.283,388.347,643.914,3810,93.2,51.65950271729011
104,10.91,128.8,3.165,57.183,7.617,365.373,384.889,643.257,3810,99.4,51.65950271729011
105,10.15,110.7,3.998,38.467,5.1,362.146,376.747,644.378,3810,98.6,51.65950271729011
106,10.31,128.6,2.11,53.9,7.483,360.812,378.709,646.232,3810,99.7,51.65950271729012
107,11.52,65.11,1.388,86.0,12.883,344.282,384.196,645.787,3810,98.2,51.65950271729011
108,10.44,131.4,1.666,83.45,12.583,360.505,383.094,645.833,3810,97.2,51.65950271729012
109,11.2,129.9,1.722,67.017,9.3,356.808,385.024,645.475,3810,96.9,51.65950271729011
110,9.98,128.0,2.999,39.55,5.483,361.112,377.106,646.697,3810,98.7,51.65950271729012
111,10.6,117.1,3.554,73.833,11.333,362.74,377.666,647.304,3810,95.4,51.65950271729011
112,10.2,100.6,2.721,66.95,10.567,358.576,375.843,647.442,3810,90.4,51.6595027172901
113,10.76,113.9,2.277,46.367,6.767,363.451,381.637,646.028,3810,97.3,51.65950271729012
114,10.68,133.9,1.999,77.75,11.9,353.143,381.144,647.6,3810,98.7,51.65950271729011
115,9.99,86.6,3.721,32.1,5.133,353.54,372.333,648.045,3810,98.3,51.65950271729011
116,10.36,136.9,1.555,119.367,19.5,322.488,378.059,648.317,3810,85.1,51.65950271729011
117,10.29,122.0,2.11,57.633,8.433,355.76,382.078,647.039,3810,95.0,51.65950271729011
118,10.39,125.2,2.11,69.25,10.75,356.37,379.057,647.396,3810,94.6,51.65950271729012
119,10.52,127.2,4.332,82.267,13.133,351.204,378.39,647.048,3810,94.4,51.65950271729011
120,10.49,134.7,4.665,50.633,7.583,360.43,378.208,647.259,3810,98.4,51.65950271729011
121,9.95,118.4,1.999,74.217,11.583,353.454,377.555,647.134,3810,97.1,51.6595027172901
122,9.85,81.8,1.666,41.183,6.5,357.293,374.833,647.559,3810,97.7,51.65950271729011
123,9.94,130.0,5.165,99.583,15.9,353.45,376.477,647.842,3810,95.3,51.65950271729011
124,11.29,124.3,3.11,76.817,12.0,331.207,382.392,647.922,3810,93.9,51.65950271729011
125,10.99,127.7,3.11,52.417,7.767,359.804,382.377,648.604,3810,96.4,51.65950271729011
126,10.99,108.8,1.444,68.55,10.333,317.439,377.759,648.517,3810,96.8,51.65950271729011
127,11.44,132.9,1.444,82.133,12.75,330.257,384.884,646.072,3810,96.3,51.65950271729012
128,9.91,124.0,2.055,14.4,1.8,362.858,375.16,645.887,3810,99.8,51.65950271729011
129,10.57,143.6,1.444,105.55,17.7,331.867,376.74,647.502,3810,94.3,51.65950271729011
130,10.02,129.6,1.833,45.817,7.3,362.684,377.985,646.635,3810,98.0,51.65950271729011
131,10.2,123.8,1.666,44.2,6.65,354.109,377.07,646.265,3810,97.4,51.65950271729011
132,10.04,125.3,2.388,35.0,4.583,353.764,377.635,646.501,3810,97.6,51.6595027172901
133,10.27,136.2,1.999,14.017,1.5,364.131,376.659,645.857,3810,99.7,51.6595027172901
134,10.09,118.7,2.388,18.65,2.217,362.737,373.794,645.574,3810,100.0,51.6595027172901
135,10.56,118.6,2.499,57.583,9.05,350.08,375.595,646.896,3810,92.2,51.65950271729011
136,10.28,135.4,3.61,22.0,2.817,363.053,377.416,646.612,3810,99.1,51.65950271729012
137,10.74,124.3,2.999,38.817,5.267,356.146,379.202,646.204,3810,98.6,51.65950271729011
138,10.68,134.5,3.332,12.983,1.133,364.882,377.876,646.244,3810,99.7,51.65950271729011
139,10.56,134.0,3.388,22.233,2.633,360.727,378.233,647.51,3810,95.2,51.65950271729011
140,10.29,96.5,2.777,44.15,7.133,355.331,372.886,648.12,3810,94.2,51.65950271729011
141,9.45,91.5,4.109,30.7,4.6,359.142,370.114,648.384,3810,97.3,51.65950271729011
142,8.8,116.5,2.832,12.817,1.383,356.723,368.115,648.643,3810,99.3,51.65950271729011
143,9.17,125.7,1.499,18.267,2.4,358.175,372.338,647.599,3810,100.0,51.65950271729011
144,8.69,118.3,4.498,6.917,0.483,350.064,363.34,646.231,3810,99.6,51.65950271729011
145,7.157,132.2,2.888,15.783,2.167,349.087,356.767,648.483,3810,100.0,51.65950271729012
146,6.133,194.46961593975524,5.8471722518008145,27.95,4.083,335.892,352.832,651.115,3810,93.2,51.65950271729011
147,7.072,126.8,1.777,51.067,7.867,307.765,358.411,650.226,3810,98.1,51.65950271729011
148,7.887,134.6,4.332,35.45,5.233,345.676,365.811,648.621,3810,99.4,51.65950271729011
149,7.813,140.0,3.499,19.133,2.483,348.701,363.732,648.194,3810,99.4,51.65950271729012
150,7.073,119.2,1.888,18.2,2.35,344.228,360.267,649.895,3810,98.6,51.65950271729012
151,7.263,126.3,2.777,13.35,1.533,349.092,360.479,649.744,3810,100.0,51.65950271729011
152,7.783,109.7,2.555,19.783,2.333,334.857,361.745,650.833,3810,95.5,51.65950271729012
153,6.262,119.8,4.165,19.9,2.583,340.446,353.871,652.449,3810,97.7,51.65950271729011
154,7.761,135.1,1.444,16.033,2.033,346.365,365.841,651.796,3810,99.4,51.65950271729011
155,7.271,125.0,1.833,25.883,3.533,343.592,361.911,650.518,3810,99.3,51.65950271729011
156,5.505,123.2,2.277,16.75,1.967,341.803,351.014,649.468,3810,100.0,51.65950271729011
157,5.388,133.5,1.722,26.083,3.517,334.705,352.779,649.091,3810,99.5,51.65950271729012
158,6.603,134.4,3.332,13.983,1.5,344.914,358.941,646.807,3810,100.0,51.65950271729011
159,6.714,127.8,1.61,12.333,1.183,345.795,360.73,647.148,3810,100.0,51.65950271729012
160,6.628,141.0,2.055,9.35,0.933,346.933,356.812,648.045,3810,100.0,51.65950271729011
161,6.663,139.1,2.555,7.267,0.333,345.338,357.558,648.693,3810,100.0,51.65950271729012
162,6.892,138.1,1.499,4.733,0.133,347.653,359.452,648.068,3810,99.9,51.65950271729011
163,7.415,132.2,1.888,21.05,2.767,342.201,364.297,648.958,3810,97.9,51.65950271729011
164,7.331,138.4,2.277,7.7,0.4,344.508,363.85,648.793,3810,99.3,51.65950271729011
165,7.14,130.8,2.166,12.95,1.483,342.979,363.595,649.228,3810,99.3,51.65950271729011
166,5.436,129.3,2.277,4.117,0.2,340.342,354.051,648.713,3810,100.0,51.65950271729011
167,5.07,133.6,2.11,7.783,0.617,335.667,354.815,647.695,3810,99.6,51.65950271729011
168,4.987,130.0,2.332,5.883,0.35,333.501,353.539,647.504,3810,99.1,51.65950271729011
169,5.012,138.1,2.332,7.75,0.717,335.908,354.928,647.338,3810,99.3,51.65950271729011
170,5.059,119.0,2.055,9.6,0.9,329.695,354.699,648.018,3810,97.4,51.65950271729012
171,4.981,133.9,1.777,9.367,0.783,317.414,353.754,648.62,3810,96.7,51.6595027172901
172,4.784,126.5,1.388,5.4,0.45,334.062,354.063,649.509,3810,98.5,51.6595027172901
173,4.829,134.6,2.443,6.883,0.55,324.667,351.812,650.281,3810,96.9,51.65950271729012
174,4.457,126.6,2.055,6.567,0.45,328.155,350.996,650.174,3810,98.1,51.65950271729011
175,4.214,129.0,2.055,5.233,0.333,328.621,350.91,649.903,3810,96.5,51.65950271729012
176,4.629,139.2,1.166,6.017,0.433,296.386,346.445,650.319,3810,94.3,51.65950271729012
177,4.315,132.3,1.722,4.167,0.15,327.299,351.047,650.196,3810,97.6,51.65950271729011
178,3.065,89.7,0.5,5.483,0.583,318.235,339.124,649.019,3810,93.9,51.6595027172901
179,4.184,114.8,1.944,18.917,2.467,295.015,344.215,646.645,3810,94.8,51.65950271729011
180,3.913,36.7,1.499,5.5,0.45,270.475,343.303,646.224,3810,95.5,51.65950271729011
181,2.863,119.5,1.277,5.383,0.617,302.457,337.136,645.896,3810,95.4,51.65950271729011
182,2.638,134.1,2.499,3.567,0.167,325.219,344.101,646.514,3810,98.8,51.65950271729011
183,3.813,25.32,2.055,1.483,0.217,314.965,332.622,646.06,3810,67.13,51.65950271729011
184,3.492,84.6,0.5,8.7,1.367,238.868,335.098,646.863,3810,78.89,51.65950271729011
185,4.54,194.46961593975524,5.8471722518008145,3.95,0.683,235.504,333.512,647.341,3810,67.07,51.65950271729011
186,3.417,139.3,1.444,3.8,0.183,310.917,344.153,648.388,3810,98.1,51.65950271729011
187,3.308,127.3,2.055,16.45,2.35,274.315,337.211,648.726,3810,97.5,51.65950271729011
188,2.443,130.7,1.61,2.4,0.1,320.72,339.609,647.059,3810,97.4,51.65950271729011
189,2.623,138.5,1.722,0.967,0.017,326.319,341.051,646.2,3810,99.2,51.65950271729011
190,2.628,139.8,1.0,3.333,0.2,301.8,342.054,647.044,3810,94.1,51.65950271729011
191,3.891,119.3,2.221,2.367,0.117,322.132,344.834,648.86,3810,96.5,51.65950271729012
192,1.879,130.5,2.166,0.217,37.51148359824146,316.245,336.146,648.353,3810,83.5,51.65950271729011
193,1.767,135.2,2.832,1.95,0.05,317.647,336.339,646.121,3810,96.4,51.6595027172901
194,1.271,143.7,1.444,0.55,37.51148359824146,320.772,335.752,644.468,3810,99.4,51.65950271729012
195,2.812,127.3,1.833,1.75,0.033,327.465,343.817,644.862,3810,99.1,51.65950271729012
196,3.354,20.15,1.055,2.067,0.267,248.747,333.246,647.003,3810,91.5,51.65950271729011
197,4.13,16.62,1.055,2.383,0.4,256.399,333.829,648.869,3810,82.9,51.65950271729011
198,3.019,130.6,0.889,1.85,0.133,300.097,337.761,647.789,3810,92.6,51.65950271729011
199,2.741,129.3,1.499,0.467,37.51148359824146,320.732,340.127,646.303,3810,96.8,51.65950271729011
200,2.757,83.7,2.721,1.333,37.51148359824146,292.588,336.914,645.236,3810,98.5,51.65950271729011
201,4.119,89.6,1.999,0.7,37.51148359824146,311.312,346.316,647.927,3810,97.5,51.65950271729012
202,5.233,6.79,1.666,0.767,0.333,240.891,333.253,650.143,3810,62.53,51.65950271729011
203,3.73,24.92,1.111,0.683,0.067,241.793,331.811,650.607,3810,93.1,51.6595027172901
204,3.413,49.98,2.332,0.683,0.2,239.424,329.0,648.839,3810,87.0,51.65950271729011
205,5.305,24.88,1.722,0.5,0.333,241.811,330.375,648.262,3810,56.44,51.65950271729011
206,3.448,21.63,1.388,0.517,0.2,232.525,323.433,647.004,3810,66.06,51.65950271729011
207,2.022,136.0,2.0,0.367,37.51148359824146,317.915,336.887,646.335,3810,97.8,51.65950271729011
208,1.339,128.9,1.61,0.2,37.51148359824146,296.927,331.16,645.89,3810,97.5,51.65950271729011
209,0.898,131.9,1.777,0.55,37.51148359824146,316.874,332.781,647.024,3810,98.3,51.6595027172901
210,1.441,194.46961593975524,5.8471722518008145,0.3,37.51148359824146,291.582,331.281,647.27,3810,91.1,51.65950271729012
211,1.577,139.4,1.388,0.217,37.51148359824146,317.062,337.458,646.607,3810,95.1,51.65950271729011
212,3.29,48.92,2.666,1.55,0.483,239.255,325.522,646.968,3810,79.43,51.65950271729011
213,2.906,89.7,1.777,1.767,0.483,244.971,325.747,646.176,3810,83.7,51.65950271729011
214,2.202,93.7,3.61,1.367,0.167,266.477,324.674,647.443,3810,71.16,51.65950271729011
215,2.609,35.56,1.444,0.083,0.3,221.453,315.043,647.35,3810,53.8,51.65950271729012
