TIMESTAMP,T_HMP,T_HMP_2,RH,RH_2,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS
2022-05-10 18:00:00,-25.4,-25.21,34.095,33.588,32.26,26.61,164.5,23.99,20.88,271.1,-4.594,0.832,95.778,199.781,338.25
2022-05-10 19:00:00,-25.86,-25.66,9.023,8.75,31.3,25.65,166.5,23.99,19.6,268.5,-4.631,0.811,97.636,197.871,337.75
2022-05-10 20:00:00,-26.28,-26.09,25.115,24.519,30.07,26.33,169.6,22.77,19.66,265.4,-4.227,0.706,105.838,197.49,337.35
2022-05-10 21:00:00,-26.53,-26.34,100.0,100.0,29.25,24.64,168.1,24.05,19.4,267.4,-3.043,0.663,141.125,201.889,337.07
2022-05-10 22:00:00,-26.76,-26.58,71.12,72.27,27.33,23.86,168.4,21.43,18.97,267.0,-5.015,0.73,127.376,200.391,337.02
2022-05-10 23:00:00,-26.28,-26.08,37.131,36.477,28.56,23.83,165.9,22.31,18.54,269.3,-4.464,0.93,100.49,196.404,337.23
2022-05-11 00:00:00,-26.34,-26.14,20.424,20.086,30.62,24.67,164.7,22.94,19.41,270.8,0.964,5.16,93.249,195.255,337.31
2022-05-11 01:00:00,-25.77,-25.55,30.09,29.567,28.84,23.72,161.9,22.48,18.93,273.6,66.264,21.597,100.515,197.65,337.79
2022-05-11 02:00:00,-25.76,-25.49,6.967,6.658,28.15,22.08,162.2,21.26,17.47,273.2,397.894,47.508,103.813,197.46,338.18
2022-05-11 03:00:00,-25.98,-25.66,6.947,6.6,27.74,18.56,159.6,22.13,14.89,275.5,644.248,145.121,113.052,200.631,338.55
2022-05-11 04:00:00,-25.97,-25.63,7.954,7.535,21.44,18.27,160.2,17.6,14.81,275.7,862.329,266.074,115.16,210.05,338.48
2022-05-11 05:00:00,-25.19,-24.78,10.052,9.511,20.62,15.34,157.4,16.14,12.63,278.2,1029.635,365.665,116.354,223.052,338.9
2022-05-11 06:00:00,-23.81,-23.37,41.628,40.064,14.18,11.63,150.7,12.42,9.95,284.4,1129.645,441.65,116.907,237.513,338.89
2022-05-11 07:00:00,-22.89,-22.5,56.544,54.876,18.01,12.68,149.7,16.43,10.62,285.2,1163.641,491.957,119.211,245.77,338.79
2022-05-11 08:00:00,-22.5,-22.11,59.696,57.971,18.97,14.47,153.1,16.14,12.12,282.1,1045.005,505.398,120.728,244.99,338.89
2022-05-11 09:00:00,-22.08,-21.68,63.026,61.224,15.68,11.72,147.4,13.47,9.66,286.9,717.24,488.063,118.434,249.472,338.86
2022-05-11 10:00:00,-21.73,-21.35,63.253,61.545,15.41,12.28,147.4,14.34,10.19,287.7,679.449,444.451,116.355,246.617,338.61
2022-05-11 11:00:00,-21.32,-21.08,98.704,98.263,19.52,13.63,157.7,15.74,10.97,277.3,432.435,386.909,149.356,245.242,338.65
2022-05-11 12:00:00,-21.46,-21.25,99.998,99.674,17.74,10.72,157.5,14.63,8.48,276.5,218.603,266.686,163.829,239.344,338.76
2022-05-11 13:00:00,-21.05,-20.94,100.0,100.0,11.16,6.699,152.6,9.17,5.336,280.1,99.771,76.015,214.668,231.735,339.09
2022-05-11 14:00:00,-22.18,-22.02,100.0,100.0,7.053,4.019,149.1,8.41,3.433,281.7,-1.567,0.808,206.992,217.95,339.39
2022-05-11 15:00:00,-22.81,-22.78,100.0,100.0,5.683,1.412,146.2,7.539,1.296,280.1,-4.212,1.084,198.179,220.634,339.73
2022-05-11 16:00:00,-24.16,-24.34,100.0,100.0,5.272,2.138,134.2,6.725,1.978,287.5,-6.376,2.244,151.553,211.767,339.79
2022-05-11 17:00:00,-24.96,-25.2,100.0,100.0,2.943,0.302,101.6,4.284,0.859,302.7,-6.344,2.822,124.911,206.388,339.86
2022-05-11 18:00:00,-24.28,-24.44,100.0,100.0,7.327,3.674,144.9,5.679,3.381,288.2,-3.074,1.697,168.081,211.532,339.55
2022-05-11 19:00:00,-24.15,-24.02,100.0,100.0,10.62,6.889,154.4,7.888,5.599,279.4,-1.892,0.599,197.448,214.939,339.03
2022-05-11 20:00:00,-24.98,-24.93,100.0,100.0,12.4,7.908,146.1,13.82,7.506,288.8,-3.013,0.893,176.748,210.41,338.48
2022-05-11 21:00:00,-24.58,-24.17,98.774,90.464,22.4,14.22,144.4,20.44,12.85,290.4,-3.287,0.04,101.93,206.14,338.42
2022-05-11 22:00:00,-21.34,-21.15,21.154,21.52,26.78,14.79,143.5,20.5,12.16,290.5,-5.976,-0.46,100.348,207.013,338.3
2022-05-11 23:00:00,-21.0,-20.75,13.298,12.454,26.64,15.4,156.6,22.83,11.26,277.8,-5.826,0.998,100.691,206.65,338.46
2022-05-12 00:00:00,-20.88,-20.64,8.312,8.047,25.96,11.44,161.4,21.61,8.03,272.1,-0.723,5.407,101.276,206.48,338.86
2022-05-12 01:00:00,-22.33,-22.05,16.114,15.672,17.74,5.238,160.8,12.65,3.013,266.9,64.337,23.422,101.911,201.743,339.23
2022-05-12 02:00:00,-21.11,-20.82,13.202,12.837,20.75,8.58,158.9,16.14,5.67,272.4,388.142,56.021,108.7,201.858,339.35
2022-05-12 03:00:00,-20.01,-19.7,8.158,7.86,23.63,16.78,160.0,19.46,12.74,275.6,633.981,195.65,111.475,213.995,339.66
2022-05-12 04:00:00,-19.62,-19.27,5.309,5.06,22.4,16.01,149.2,19.4,13.05,286.5,865.378,349.77,112.034,221.414,339.57
2022-05-12 05:00:00,-18.83,-18.48,3.418,3.204,25.27,17.65,147.2,22.36,14.74,287.5,1037.288,469.574,113.838,229.16,339.62
2022-05-12 06:00:00,-18.49,-18.16,4.127,3.883,24.59,18.11,145.6,21.55,15.66,289.4,1141.12,569.578,114.124,237.014,339.71
2022-05-12 07:00:00,-18.08,-17.78,6.223,5.971,21.71,17.21,141.1,20.21,15.04,293.8,1172.391,620.779,114.52,242.661,339.46
2022-05-12 08:00:00,-18.57,-18.29,9.257,8.965,22.4,18.77,138.3,21.37,16.73,296.7,1057.815,616.398,113.938,242.858,339.17
2022-05-12 09:00:00,-20.04,-19.73,30.803,30.059,23.36,17.09,141.0,21.78,15.01,293.5,738.936,577.189,112.276,240.484,339.03
2022-05-12 10:00:00,-18.22,-17.94,8.579,8.331,22.95,19.23,138.8,21.49,16.98,296.1,649.093,536.272,107.265,237.113,338.94
2022-05-12 11:00:00,-17.66,-17.34,6.371,6.096,25.55,21.11,143.1,23.29,18.18,291.9,623.0,448.266,103.904,234.686,338.64
2022-05-12 12:00:00,-18.75,-18.46,12.629,12.25,28.29,22.81,141.5,25.62,19.71,293.4,369.184,317.841,103.462,226.076,338.8
2022-05-12 13:00:00,-20.4,-20.18,35.091,34.561,32.4,19.62,155.1,26.03,15.7,280.3,106.302,135.628,111.859,217.861,338.86
2022-05-12 14:00:00,-21.3,-21.1,67.427,66.864,30.34,19.29,163.1,23.76,14.49,272.5,-4.702,1.057,115.396,209.27,339.39
2022-05-12 15:00:00,-21.64,-21.45,43.441,43.085,27.06,18.63,156.3,22.77,15.01,279.6,-4.648,0.876,116.912,213.69,339.54
2022-05-12 16:00:00,-20.5,-20.31,33.782,33.427,25.27,19.79,149.1,22.42,16.64,286.0,-4.473,0.804,119.557,214.457,339.84
